"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"500","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"495","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"481","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"515","1283","Stop search of one sponsored by private entities (partners and investors)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( الشركاء والمستثمرين)","true"
"502","737","","الصيانة من قبل الشركات","true"
"474","737","","الصيانة من قبل الشركات","true"
"471","737","","الصيانة من قبل الشركات","true"
"499","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"471","347","","حـذف حركة الخـروج أو الدخول المسجل للمسافر بالخـطأ في الحاسب الالي .","true"
"472","821","","استلام وتحويل الإقتراحات .","true"
"509","30","","انتقال الوسيلة بين موانئ الدولة ( خروج محلي).","true"
"471","89","Adding a citizen wife.","إضافة زوجة مواطنة.","true"
"471","1216","Multiple Short Visit Visa For (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لعدة سفرات(مهرجان/معارض/مؤتمر/ندوة)","true"
"481","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"471","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"504","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"509","150","","خروج الوسيلة من موانئ الدولة (خروج دولي).","true"
"493","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"499","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"504","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"536","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"475","821","","استلام وتحويل الإقتراحات .","true"
"535","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"476","138","IRIS Insertion Station","محطة إدراج بصمة العين.","true"
"471","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"481","821","","استلام وتحويل الإقتراحات .","true"
"472","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"514","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"472","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"496","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"535","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"481","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"481","737","","الصيانة من قبل الشركات","true"
"512","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"504","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"475","1201","","إطلاق الاستبيانات المتعلقة بالموارد البشرية وتحليلها ورفع التوصيات المناسبة  [خارجي المجلس التنفيذي]","true"
"474","574","","مبنى طاقم طيران الامارات","true"
"535","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"475","48","","دخول حملة أذونات الدخول.","true"
"535","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"490","737","","الصيانة من قبل الشركات","true"
"481","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"480","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"509","148","","بلاغ هروب بحار- لم يتم القبض عليه","true"
"484","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"478","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"512","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"472","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"835","119","Request electronic passport renewal.","طلب تجديد جواز السفر الإلكتروني.","true"
"498","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"472","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"514","1312","","إلغاء بطاقة مندوب","true"
"472","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"497","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"514","821","","استلام وتحويل الإقتراحات .","true"
"476","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"654","144","","التحاق بحار من المطار إلى وسيلة راسية في احد موانئ الدولة","true"
"514","104","Status Modification","تعديل وضع","true"
"514","737","","الصيانة من قبل الشركات","true"
"480","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"471","1111","","في حالة مرض البحارة او الأصابة في حادث","true"
"513","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"496","104","Status Modification","تعديل وضع","true"
"493","737","","الصيانة من قبل الشركات","true"
"512","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"498","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"497","737","","الصيانة من قبل الشركات","true"
"498","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"478","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"471","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"500","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"503","443","","دخول مقيمي دولة الإمارات العربية المتحدة عبر منفذ حتا البري","true"
"516","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"476","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"484","789","Cancelling of the validity of the work entry permits which were issued by the default management system On-Line.","إلغاء صلاحية أذونات الدخول عمل الصادرة عن طريق الادارة الافتراضية نظام الـ On-Line","true"
"484","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"471","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"535","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"480","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"484","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"471","1316","Add the validity of entry permit for visit","إضافة صلاحية خدمة إذن دخول للزيارة","true"
"471","1287","","كف البحث عن مكفول لكفيل من الجهات الخاصة ( قبل الغاء بطاقة العمل)","true"
"516","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"484","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"471","1280","Stop searching of one sponsored by a resident sponsor (Personal sponsorship)","كف البحث عن مكفول لكفيل مقيم ( الكفالات الشخصية )","true"
"514","44","Single Entry Permit For Treatment","أذن دخول علاج لسفرة واحدة","true"
"493","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"471","1228","Temporary work permit for three months","تصريح عمل مؤقت ثلاثة اشهر","true"
"514","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"471","1272","","اضافه فئه خدمات جديده على بطاقة المنشاه لمؤسسات القطاع الحكومي","true"
"471","1284","Stop search of one sponsored by private sector (After cancelling the labour card)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( بعد الغاء بطاقة العمل)","true"
"501","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"493","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"481","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"471","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"501","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"478","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"507","152","","ترك عبور بحار من الميناء إلى المطار.","true"
"492","80","Renewal of work residence","تجديد إقامة عمل","true"
"471","1274","","تجديد بطاقة مندوب اجنبي","true"
"471","1001","","طلب استحداث قسم","true"
"493","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"500","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"499","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"476","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"654","25","","دخول الوسيلة إلى موانئ الدولة.","true"
"471","1218","Multiple Short Tourist Visit Visa","إذن دخول زيارة قصيرة سياحية عدة سفرات","true"
"474","821","","استلام وتحويل الإقتراحات .","true"
"516","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"501","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"471","147","Request of marriage transactions for UAE citizen","طلب معاملات الزواج  لزوجين مواطنين","true"
"512","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"471","396","Receiving a detainee having run away complaints.","استلام موقوف عليه بلاغات هروب.","true"
"476","351","","تسجيل بيـانات  الدخـول","true"
"515","1289","Stop search of one sponsored by private sector (Free Zone)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( المنطقة الحرة)","true"
"507","145","","دخول البحارة من المياه الإقليمية إلى الميناء","true"
"512","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"493","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"838","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"535","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"535","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"471","1230","Temporary work permit for 6 months","تصريح عمل مؤقت 6 اشهر","true"
"500","1216","Multiple Short Visit Visa For (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لعدة سفرات(مهرجان/معارض/مؤتمر/ندوة)","true"
"654","1111","","في حالة مرض البحارة او الأصابة في حادث","true"
"513","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"480","1312","","إلغاء بطاقة مندوب","true"
"471","853","","تجديد الضمانات المالية القديمة","true"
"536","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"490","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"484","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
"481","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"838","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"496","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"492","104","Status Modification","تعديل وضع","true"
"495","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"478","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"535","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"471","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"495","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"512","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"484","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"471","1315","Temporary closure of the file of sponsored person","إغلاق مؤقت لملف المكفول","true"
"504","119","Request electronic passport renewal.","طلب تجديد جواز السفر الإلكتروني.","true"
"490","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"472","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"484","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"471","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"476","1280","Stop searching of one sponsored by a resident sponsor (Personal sponsorship)","كف البحث عن مكفول لكفيل مقيم ( الكفالات الشخصية )","true"
"515","1315","Temporary closure of the file of sponsored person","إغلاق مؤقت لملف المكفول","true"
"484","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"478","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"475","737","","الصيانة من قبل الشركات","true"
"536","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"501","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"480","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"495","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"480","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"513","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"498","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"492","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"535","1312","","إلغاء بطاقة مندوب","true"
"471","1227","Request for issuing Temporary Work Permit for the exhibitions and conferences for 21 days.","طلب اصدار تصريح عمل مؤقت  للمعارض والمؤتمرات21 يوما","true"
"500","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"838","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"481","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"513","80","Renewal of work residence","تجديد إقامة عمل","true"
"478","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"480","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
"471","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
"471","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"471","129","Notice of Dependency for a foreigner wife","اشعار بالتبعية للزوجة الأجنبية","true"
"535","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"500","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"471","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"480","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"508","30","","انتقال الوسيلة بين موانئ الدولة ( خروج محلي).","true"
"509","144","","التحاق بحار من المطار إلى وسيلة راسية في احد موانئ الدولة","true"
"472","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"484","1274","","تجديد بطاقة مندوب اجنبي","true"
"838","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"514","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"495","1287","","كف البحث عن مكفول لكفيل من الجهات الخاصة ( قبل الغاء بطاقة العمل)","true"
"472","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"480","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"501","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"512","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"484","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"501","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"484","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"493","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"496","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"493","104","Status Modification","تعديل وضع","true"
"504","80","Renewal of work residence","تجديد إقامة عمل","true"
"492","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"484","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"512","104","Status Modification","تعديل وضع","true"
"508","1111","","في حالة مرض البحارة او الأصابة في حادث","true"
"493","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"504","104","Status Modification","تعديل وضع","true"
"501","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"471","462","Inspection of installations that requests lifting of ban of all kinds","التفتيش على المنشآت التي تطلب رفع الحظر بجميع انواعها","true"
"507","1099","","خروج  الوسائل البحرية الحديدية","true"
"507","150","","خروج الوسيلة من موانئ الدولة (خروج دولي).","true"
"499","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"492","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"516","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"496","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"471","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"513","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"476","1289","Stop search of one sponsored by private sector (Free Zone)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( المنطقة الحرة)","true"
"480","821","","استلام وتحويل الإقتراحات .","true"
"500","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"480","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"507","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"474","138","IRIS Insertion Station","محطة إدراج بصمة العين.","true"
"509","145","","دخول البحارة من المياه الإقليمية إلى الميناء","true"
"495","104","Status Modification","تعديل وضع","true"
"481","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"514","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"495","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"513","104","Status Modification","تعديل وضع","true"
"471","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"501","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"497","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"654","157","","دخول اليخوت.","true"
"471","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"514","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"472","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"496","45","Single Short Term Entry Visit Permit (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لسفرة واحدة(مهرجان/معارض/مؤتمر/ندوة)","true"
"499","821","","استلام وتحويل الإقتراحات .","true"
"512","175","Issuance of an additional copy of the establishment card.","إصدار نسخة إضافية من بطاقة المنشأة.","true"
"490","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"503","821","","استلام وتحويل الإقتراحات .","true"
"502","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"499","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"535","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"508","149","","تصريح نزول بحارة - نزول إمارة","true"
"514","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"480","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"508","157","","دخول اليخوت.","true"
"471","577","","الخدمات الرئيسية لقسم الشكاوي و المنازعات","true"
"516","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"471","356","Request for settlement of the violators records.","طلب تسديد قيود المخالفين.","true"
"478","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"498","821","","استلام وتحويل الإقتراحات .","true"
"476","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"496","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"501","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"513","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"493","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"492","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"480","1274","","تجديد بطاقة مندوب اجنبي","true"
"500","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"508","1099","","خروج  الوسائل البحرية الحديدية","true"
"500","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"814","1201","","إطلاق الاستبيانات المتعلقة بالموارد البشرية وتحليلها ورفع التوصيات المناسبة  [خارجي المجلس التنفيذي]","true"
"490","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"498","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"513","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"508","25","","دخول الوسيلة إلى موانئ الدولة.","true"
"513","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"480","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"497","821","","استلام وتحويل الإقتراحات .","true"
"481","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
