"professionid","professiondescen","professiondescar"
"7315025","SUGAR CANE PRESS OPERATOR","مشغل عصاره قصب السكر"
"7315035","BEET MILLING PRESS MACHI OPER","مشغل جهاز طحن وعصر البنجر"
"7315045","BEET CARBONIZER OPERATOR","مشغل جهاز كربنه السكر"
"7315055","SUGAR CRYSTALLIZATION MACH OPR","مشغل جهاز بلوره السكر"
"7315065","SUGAR SEPERATION MACHINE OPER","مشغل جهاز فصل السكر"
"7315075","SUGAR DRYER OPERATION","مشغل مجففات السكر"
"7315085","SUGAR FORMING MACHINE OPERATOR","مشغل اله تشكيل السكر"
"7315095","SUGAR PACKAGING PACKING OPER","مشغل تعبئه وتغليف السكر"
"7316000","YEAST PRODUCTION WORKERS","عمال صناعه الخمائر"
"7316013","YEAST MAKER GENERAL","صانع خمائر"
"7316025","BREAD YEAST PLANT OPERATOR","مشغل حقل التخمير لخميره الخبز"
"7316035","BREAD YEAST DRYER OPERATOR","مجفف خميره الخبز"
"7316045","BREAD YEAST SEPARAT MACHI OPER","مشغل فاصلات خميره الخبز"
"7316055","BREAD YEAST FILTERING MAN","مرشح خميره الخبز"
"7316065","BREWER S YEAST MAKER","صانع خميره مشروبات"
"7316075","DRINK FERMENTATION MAN","مخمر مشروبات"
"7316085","BREAD YEAST PACKAGE PACK WORKE","عامل تعبئه وتغليف خميره الخبز"
"7320000","VEGETABLE FRUIT PROCESS OCUP","مهن تصنيع الخضروات والفاكهه"
"7321000","PICKLES WORKERS","عمال صناعه المخللات"
"7321015","VINEGAR MAKER","صانع خل"
"7321025","PICKLES MAKER","صانع مخللات (طرشي)"
"7322000","VEG FRUIT CONSERV CUNNING WORK","عمال حفظ وتعليب الخضر والفاكهه"
"7322013","VEGETABLE AND FRUIT COOKER GEN","طباخ خضروات وفواكه عام"
"7322014","EXECUTIVE COOK","طباخ تنفيذي"
"7322025","VEGETABLE FRUIT PROCESS WORKER","عامل تحضير خضروات وفواكه"
"7322033","FOOD STERILIZER","معقم مواد غذائيه"
"7322045","FOOD FREEZER","مجمد مواد غذائيه"
"7322055","FOOD DRYER","مجفف مواد غذائيه"
"7322065","JAM MAKER","صانع مربى"
"7322075","MOLASSES MAKER","صانع دبس"
"7322085","DATES COOKER","طباخ تمور"
"7322095","DATES STONER OPERATOR","مشغل اله فرز التمورعن النواه"
"7322105","DATES FUMIGATION WORKER","عامل مبخره تمور"
"7322115","VEG FRUIT PACKAGE PACK WORK","عامل تعبئه وتغليف خضر وفواكه"
"7323000","BEVERAGE INDUSTRY WORKERS","عمال صناعه المشروبات"
"7323015","VEGETABLE FRUIT JUICE MAKER","عامل تصنيع عصير خضروات وفواكه"
"7323025","SYRUP MAKER","محضر عصير مشروبات"
"7323035","BARLEY WATER GROWING WORKER","عامل  انبات الشعير بالماء"
"7323045","BARLEY DRYER","عامل  تجفيف الشعير"
"7323055","MACERATED BARLEY COOK","طباخ  منقوع الشعير"
"7323065","BEVERAGE MAKER","صانع  مشروبات"
"7323075","BEVERAGE DISTILLER","محضر  مشروبات"
"7323085","BEVERAGE mikatter","مقطر مشروبات"
"7324000","VEGETABLE OIL INDUSTRY WORKER","عمال صناعه الزيوت النباتيه"
"7324013","VEGETABLE OIL WORKER GENERAL","عامل صناعه زيوت نباتيه"
"7324025","VEG OIL RAW MATERIAL PREPARER","عامل تحضير المواد الاولية للزيوت النباتية"
"7324035","VEGETABLE OIL PRESS MACHI OPER","مشغل مكابس الزيوت النباتيه"
"7324045","VEG OIL STRAINER MACHINE OPER","مشغل مصافى الزيوت النباتيه"
"7324055","VEG OIL HYDROGENTION PLANT OPR","مشغل جهاز هدرجةالزيوت النباتيه"
"7324065","SESAME JUICE MAKER","صانع طحينه (راشي)"
"7324075","VEGETABLE OIL RESIDU PRESS OPR","مشغل الات كبس مخلفات الزيوت"
"7324085","VEG OIL PROD PACKAGE PACK WORK","عامل تعبئة وتغليف منتجات وزيوت نباتية"
"7330000","MEAT DAIRY PROD MANUFACT OCUP","مهن تصنيع اللحوم والالبان"
"7331000","BUTCHERS","الجزارون"
"7331014","BUTCHER GENERAL","جزار عام"
"7331015","TANK CLEANER","منظف خزان"
"7331025","SLAUGHTER ANIMAL BUTCHER","جزار حيوانات"
"7331028","ANIMAL`S BUTCHER","جزار حيوانات"
"7331035","ABATTOIR BUTCHER","جزار بالمجزره"
"7331045","POULTRY BUTCHER","جزار دواجن"
"7331055","BOWLES AND LIMBS CLEANER","منظف احشاء واطراف الذبائح"
"7331065","POULTRY BOWELS FEATHER CLEANER","منظف احشاء وريش الدواجن"
"7331075","MEAT CUTTER","مقطع لحم"
"7331085","MEAT PRODUCTS MAKER","صانع منتجات لحوم"
"7332000","FISH CONSERVING CANNING WORKER","عمال حفظ وتعليب الاسماك"
"7332013","FISH CONSERVE CANNING WORK GEN","عامل حفظ السمك وتعليبه"
"7332025","FISH CUTTING AND CLEANING WORK","مقطع ومنظف اسماك"
"7332035","FISH COOK","طباخ اسماك"
"7332045","FISH CANNING MACHINE OPERATOR","مشغل اله تعليب اسماك"
"7332055","FISH RESIDUE PROCESSING WORKER","عامل تصنيع مخلفات الاسماك"
"7332065","FISH CONSERVATION FREZING WORK","عامل حفظ وتجميد الاسماك"
"7333000","MILK AND DAIRY PRODUCTS WORKER","عمال صناعه الالبان ومنتجاتها"
"7333013","DAIRY PRODUCTS MAKER GENERAL","صانع منتجات البان"
"7333025","FAT SEPARATION MACHINE OPERATR","مشغل اله فرز الدهون"
"7333035","DAIRY PRODUCTS STERILIZER","معقم منتجات الالبان"
"7333045","CREAM MAKER","صانع قشده"
"7333055","BUTTER MAKER","صانع زبده"
"7333065","CHEESE MAKER","صانع اجبان"
"7333075","YOGOURT MAKER","صانع لبن"
"7333085","ICECREAM MAKER","صانع مثلجات ايس كريم"
"7340000","TOBACCO TEA AND SALT PROD OCUP","مهن تصنيع التبغ والشاى والملح"
"7341000","TOBACCO WORKERS","عمال تصنيع التبغ"
"7341013","TOBACCO WORKER GENERAL","عامل تصنيع تبغ"
"7341025","TOBACCO SORTER","مصنف تبغ"
"7341035","TOBACCO BLENDER","خلاط تبغ"
"7341045","TOBACCO HUMIDIFIER OPERATOR","مشغل جهاز ترطيب التبغ"
"7341055","TOBACCO STEM CUTTING WORKER","عامل فصل سيقان التبغ"
"7341065","TOBACCO CHOPPER OPERATOR","مشغل فرامه التبغ"
"7341075","CIGARETTE MACHINE OPERATOR","مشغل اله صنع اللفائف (السجائر)"
"7341085","TOBACCO PRODUCTS MAKER","صانع منتجات تبغ"
"7341095","TOBACCO PACKAGING PACKING WORK","عامل تعبئه وتغليف التبغ"
"7342000","TEA SALT ICECREAM PROD OCCUP","عمال تصنيع شاى وملح وثلج"
"7342015","TEA BLENDER","خلاط شاى"
"7342025","SALT PRODUCTION WORKER","عامل تصنيع ملح"
"7342035","ICE PRODUCTION WORKER","صانع ثلج"
"7400000","GENERAL INDUSTRIAL OCCUPATIONS","مهن صناعيه عامه"
"7410000","GENERAL WORKERS","مهن عمال عامه"
"7410001","FORMAN","رئيس عمال"
"7410002","WORKER","عامل"
"7410011","MACHINES OPERATOR / MACHINIST","مشغل الات"
"7410021","FABRICATOR","عامل مصنع"
"7410031","TECHNICAL WORKER","عامل فنى"
"7410041","SENIOR WORKER","عامل ماهر"
"7410051","ORDINARY LABOURER","عامل عادى"
"7410052","MAINTENANCE LABOURER","عامل صيانة"
"7410054","ASSISTANT LABOURER","مساعد عامل"
"7410059","ADMINISTRATION WORKER","عامل الاداره"
"7410060","FAX OPERATOR","عامل فاكس"
"7410061","MACHINES OPERATOR SUPERVISOR","مشرف تشغيل الات"
"7410071","ASST MACHINES OPER SUPERVISOR","مساعد مشرف تشغيل الات"
"7410081","EQUIPMENT/MACHINES SUPERVISOR","مشرف اجهزه /الات"
"7410091","EQUIPMENT SUPERINTENDENT","ملاحظ اجهزه/الات"
"8213084","HOUSEHOLD APPLIANCE ELECTRICIN","كهربائى اجهزه منزليه"
"8213094","ELEVATOR ELECTRICIAN","كهربائى مصاعد"
"8213105","ELEVATOR ELECTRICIAN ASSISTANT","مساعد كهربائى مصاعد"
"8213113","CTRL PROTECT EQUP MAINT ELECTR","كهربائى صيانه اجهزه حمايةوتحكم"
"8214000","MOTOR VEHICLES TRANSPORT ELECT","كهربائيو مركبات ووسائل نقل"
"8214013","MOTOR VEHICLES ELECTRICIAN GEN","كهربائى سيارات /عام"
"8214024","MOTOR VEHICULES ELECTRICIAN","كهربائى سيارات"
"8214035","CAR ELECTRICIAN ASSISTANT","مساعد كهربائى سيارات"
"8214043","TRAIN ELECTRICIAN GENERAL","كهربائى قطارات عام"
"8214054","TRAIN ELECTRICIAN","كهربائى قطارات"
"8214065","TRAIN ELECTRICIAN ASSISTANT","مساعد كهربائى قطارات"
"8214072","SHIP ELECTRICIAN GENERAL","كهربائى سفن  عام"
"8214084","SHIP ELECTRICIAN","كهربائى سفن"
"8214095","SHIP ELECTRICIAN ASSISTANT","مساعد كهربائى سفن"
"8214103","AIRCRAFT ELECTRICIAN GENERAL","كهربائى طائرات عام"
"8214114","AIRCRAFT ELECTRICIAN","كهربائى طائرات"
"8214115","EMERGENCY ELECTRICIAN","كهربائى طوارئ"
"8220000","ELECTRONIC OCCUPATIONS","المهن الالكترونيه"
"8220006","SR.SPECIALIST SOLUTION MANAGEMENT","اخصائي اول ادارة الحلول الالكترونيه"
"8220007","OFFICER E-SERVICES","ضابط الخدمات الالكترونيه"
"8220008","SENIOR OFFICER E-SERVICES","ضابط اول الخدمات الالكترونيه"
"8220009","CABLE JOINTER","موصل اسلاك"
"8220010","SENIOR CABLE JOINTER","كبير موصلى الاسلاك"
"8221000","COMMUNICATION NETWORK TEC","مركبوومشغلو شبكات الاتصالات"
"8221001","SUBSCRIBERS LINES TECHNICAL","فنى خطوط المشتركين"
"8221002","WIREMAN","فني خطوط"
"8221005","ASSIT. ENGINEER/CUSTTOMER SERVICE","مساعد مهندس/خدمه المشتركين"
"8221009","TECHNICAIN-1/CUSTOMER SERVICE","فنى 1/خدمه المشتركين"
"8221013","TELE CABLES INSTAL WORKER GEN","مركب شبكات هاتف عام"
"8221024","OVERHEAD TELE CABLE INSTAL WOR","مركب شبكات هاتف هوائيه"
"8221034","UNDERGROUND TEL CABLE INSTAL W","مركب شبكات هاتف ارضيه"
"8221045","TELEPH CABLE INSTAL ASSISTANT","مساعد مركب شبكات هاتف"
"8221054","SUBSCRIBERS LINES INSTAL WORKE","مركب خطوط المشتركين"
"8221063","ELECT EXCHANG INSTAL WORKE GEN","مركب مقاسم الكترونيه عام"
"8221074","ELECTRONIC EXCHANGE INSTAL WRK","مركب مقاسم الكترونيه"
"8221083","ELECTRONIC EXCHANGE OPER GEN","مشغل مقاسم الكترونيه عام"
"8221094","ELECTRONIC EXCHANGE OPERATOR","مشغل مقاسم الكترونيه"
"8221103","ANTENNA INSTAL WORKER GEN","مركب هوائى اتصالات عام"
"8221114","CENTRAL ANTENNA INSTAL WORKER","مركب هوائى رئيسى ( مركزى )"
"8221125","TV ANTENNA INSTAL WORKER","مركب هوائى تلفزيون"
"8221135","MOVIE PROJECTOR OPERATOR","مشغل جهاز عرض سينيمائى"
"8221201","NETWORK CONTROLLER","مراقب الشبكات"
"8222000","TELCOMU EQUP MAINT ELECT SPEC","الكترونيو صيانه اجهزه الاتصالات"
"8222013","EXCHANGE MAINT ELECT SPEC GEN","الكترونى صيانه مقاسم عام"
"8222024","EXCHANGE MAINT ELECT SPECIALIS","الكترونى صيانه مقاسم"
"8222035","TELCOMI EQUP MAINT ELECT SPEC","الكترونى صيانه اجهزه اتصال"
"8222044","TELEGRAPH SEND MAINT ELEC SPEC","الكترونى صيانه مبرقه"
"8222055","TELE MAINT ELECT SPECIALIST","الكترونى صيانه هاتف"
"8222063","RADIO TV SET MAINT ELECT SPEC","الكترونى صيانه راديو وتلفزيون"
"8222074","TV SET MAINT ELECTRONICS SPEC","الكترونى صيانه تلفزيون"
"8222084","RADIO SET MAINT ELECT SPEC","الكترونى صيانه راديو"
"8223000","CONTROL EQUIP MAINT ELECTR SP","الكترونيو صيانه اجهزه تحكم"
"8223013","CONTROL INSTRUMENT ELECT SPEC","الكترونى اجهزه تحكم"
"8223023","PRTECTION EQUP ELECTRONIC SPEC","الكترونى اجهزه حمايه"
"8224000","INDUSTRIAL ELECTRONIC SPECIALI","الالكترونيون الصناعيون"
"8224013","INDUSTRIAL ELECTRONIC SPEC GEN","الكترونى صناعى"
"8224023","PROGRAMMED MACHI MAINT ELEC SP","الكترونى صيانه الات مبرمجه"
"8224033","CALCULATOR MNT ELCTRNC SPECLST","الكترونى صيانه حاسبات"
"8224043","MEDICAL INSTR MAINT ELECT SPEC","الكترونى صيانه اجهزه طبيه"
"8224053","METOROLOGY INSTR MAINT ELEC SP","الكترونى صيانه اجهزه رصد"
"8300000","WOOD WORK AND DECORATION OCUP","مهن النجاره والديكور"
"8310000","WOOD WORKING OCCUPATIONS","مهن النجاره"
"8311000","FURNITURE WOODWORKERS","نجارو الاثاث"
"8311001","CARPENTER","نجار"
"8311002","ASSISTANT CARPENTER","مساعد نجار"
"8311003","CARPENTER FOREMAN","رئيس عمال نجاره"
"8311004","SENIOR CARPENTER","نجار اول"
"8311013","FURNITURE WOODWORKER GENERAL","نجار اثاث عام"
"8311024","FURNITURE WOODWORKER","نجار اثاث"
"8311035","FURNITURE WOODWORKER ASSISTANT","مساعد نجار اثاث"
"8311044","CANE FURNITURE MAKER","نجار اثاث خيرزانى"
"8311054","WOOD CARVER","نجار حفر"
"8311065","NACREOUS FURNITURE WOODWORK","نجار صدفيات"
"8311075","VENEER WOODWORKER","نجار قشره"
"8311085","WOOD TURNER","خراط خشب"
"8311095","WOOD SEWING MACHINE OPERATOR","مشغل الات نشر الخشب"
"8311105","WOOD SCRAPING PLANING MACHI OP","مشغل الات مسح وتسويه الخشب"
"8311115","BORING AND MILLING MACHI OPER","مشغل الات نقر وتفريز الخشب"
"8311125","SMOOTHING MACHINE OPERATOR","مشغل اله صنفره"
"8311134","VEHICLE WOODWORKER","نجار مركبات"
"8311144","BOAT WOODWORKER","نجار قوارب"
"8311145","BOATS DESIGNER","مصمم قوارب"
"8311155","WOODEN SHOE MAKER","نجار قباقيب"
"8311165","HEEL WOODWORKER","نجار كعوب احذيه"
"8312000","CONSTRUCTION CARPENTERS","نجارو الابنيه"
"8312013","CONSTRUCTION CARPENTER GENERAL","نجار مبانى عام"
"8312024","CONSTRUCTION CARPENTER","نجار مبانى"
"8312035","CONSTRUCTION CARPENTER ASSIST","مساعد نجار مبانى"
"8312044","BRICK EDGE CARPENTER","نجار جمالونات قرميد"
"8313000","WOOD PRODUCTS PAINTERS","دهانو المشغولات الخشبيه"
"8313013","PAINTER WOODEN PRODUCTS GENRAL","دهان مشغولات خشبيه عام"
"8313024","PAINTER WOODEN FURNITURE","دهان اثاث خشبى"
"8313035","PAINTER WOODEN DOORS","دهان ابواب خشبيه"
"8313045","PAINTER ASSISTANT / WOOD","مساعد دهان خشب"
"8313054","PAINTER","دهان"
"8314000","UPHOLSTERERS","المنجدون"
"8314013","UPHOLSTERER GENERAL","منجد عام"
"8314014","UPHOLSTERY TECHNICIAN","فنى تنجيد"
"8314024","FURNITURE UPHOLSTERER","منجد اثاث"
"8314034","VEHICLE UPHOLSTERER","منجد مركبات"
"8314045","UPHOLSTERER ASSISTANT","مساعد منجد"
"8314055","CURTAINS MAKER","منجد ستائر"
"8314065","MATTRESS UPHOLSTERER","منجد فراش"
"8315000","GLASS MIRROR SHAPING INSTAL WR","عمال تشكيل وتركيب زجاج ومرايا"
"8315014","GLAZIER","زجاج"
"8315025","GLASS INSTALLATION WORKER","مركب زجاج"
"8315035","MIRROR POLISHER","صقال مرايا"
"8315045","FRAME INSTALLATION WORKER","مركب اطر لوحات"
"8320000","DECORATION TECHNICIANS WORKERS","فنيو وعمال الديكور"
"8321000","DECOR WOODWORKERS","نجارو الديكور"
"8321013","DECOR WOODWORKER GENERAL","نجار ديكور / عام"
"8321024","DECOR WOODWORKER","نجار ديكور"
"8321034","WALLS AND FLOOR WOODWORKER","نجار جدران وارضيات"
"8322000","FALS CELING WALL PAPER INSTA","مركبو السقوف الاصطناعيه"
"8322015","FALSE CEILING INSTALLATION WRK","مركب سقوف زائفه"
"8322025","CURTAINS INSTALLATION WORKER","مركب ستائر"
"8322035","CARPET  MOQUETTE INSTL WORKER","مركب سجاد وموكيت"
"8322045","WALLPAPER INSTALLATION WORKER","مركب ورق جدران"
"8322055","VINY FLOOR LAYER","مركب ارضيات لدائنيه"
"8330000","INSULATION TECH AND WORKERS","فنيو و عمال العزل"
"8331015","BUILDING INSULATION WORKER","عامل عزل حرارى مبانى"
"8331025","BLDG HUMIDITY INSULATION WORKR","عامل عزل رطوبه مبانى"
"8331035","SOUND INSULATION LAYER","عامل طبقه عازله للصوت"
"8331045","BOILER INSULATION WORKER","عامل عزل حرارى للغلايات"
"8331055","ELECTRIC INSULATION EORKER","عامل عزل حرارى للكهربائيات"
"8331056","INSULATION WORKER","عامل عزل"
"8331065","PIPE INSULATION WORKER","عامل طبقه عازله للانابيب"
"8331075","INSULATION TECHNICIAN","فنى العزل"
"8400000","CONSTRUCTION OCCUPATIONS","مهن الانشاءات"
"8410000","BUILDING CONSTRUCTION OCUP","مهن انشاءات الابنيه"
"8410001","BUILDING MAINTAINCE FORMAL","فنى صيانه المبنى"
"8410005","BUILDING MAINTAINCE CONTROLLER","مراقب صيانه المبانى"
"8410006","MAINTAINCE AND OPERATIONS CONTROLLER","مراقب صيانة وعمليات"
"8410007","ADVISOR SERVICES AND MAINTENANCE","مستشار الخدمات والصيانه"
"8410009","SENIOR BUILDING MAINTAINCE FORMAL","فنى صيانه مبنى اول"
"8410011","CONSTRUCTION FOREMAN","رئيس عمال بناء"
"8410015","ASSISTANT CONSTRUCTION FOREMAN","مساعد رئيس عمال بناء"
"8410045","BUILDING SUPERVISOR","مراقب بناء"
"8410046","SUPERVISOR SHIEF CONSTRUCTION","مراقب بناء رئيسي"
"8410101","CONSTRUCTION INSPECTOR","مفتش مبانى"
"8411000","STRUCTURES CONSTRUCTION WORKER","عمال بناء الهياكل"
"8411011","CONTRACTOR","مقاول"
"8411012","STRUCTURES CONSTRUCTION WORKER","عامل بناء الهياكل"
"8411013","MASON GENERAL","بناء عام"
"8411014","MASON","بناء"
"8411024","STONE MASON","بناء حجر"
"8411035","STONE MASON ASSISTANT","مساعد بناء حجر"
"8411044","STONE CARVER","نقاش حجر"
"8411055","CONCRETE MASON","بناء خرسانه"
"8411065","CONCRETE MASON ASSISTANT","مساعد بناء خرسانه"
"8411075","BRICK MASON","بناء طوب"
"8411085","BRICK MASON ASSISTANT","مساعد بناء طوب"
"8411095","BURNED BRICK MASON","بناء قرميد"
"8411103","CONCRETE FORMS CONTROLLER","مراقب قوالب خرسانه"
"8411114","CONCRETE FORM CARPENTER","نجار قوالب خرسانه"
"8411125","METAL CONCRETE FORM INSTAL WOR","مركب قوالب خرسانه معدنيه"
"8411134","REINFORCING FITTER","حداد تسليح بناء"
"8411145","REINFORCING FITTER ASSISTANT","مساعد حداد تسليح بناء"
"8411153","CONCRETE MIXTURES CONTROLLER","مراقب خلطات خرسانيه"
"8411164","CENTRAL CONCRETE MIXER OPERATR","مشغل خلاطه خرسانيه مركزيه"
"8411175","CONCRETE MIXER OPERATOR","مشغل خلاطه خرسانه"
"8411185","CONCRETE PUMP OPERATOR","مشغل مضخه خرسانه"
"8411195","FOUNDATION DIGGER","حفار اساسات / قواعد"
"8411197","FOUNDATION DIGGER ASSISTANT","مساعد حفار (اساسات)"
"8411205","PNEUMATIC DRILL OPERATOR","مشغل ضاغطه هواء حفر"
"8411214","CONCRETE STRUCTURE INSTALLATION WORKER","مركب هياكل خرسانيه"
"8411224","SCAFFOLDER LABOURER","عامل تركيب سقالات"
"8411234","BUILDINGS DEMOLITION WORKER","عامل هدم مبانى"
"8411245","BLOCK MAKER","صانع طابوق"
"8412000","BUILDING FINISHER","عمال تشطيبات الابنيه"
"8412005","PAINTER ASSISTANT","مساعد صباغ"
"8412015","STONE DECORATOR","كحيل حجر"
"8412024","WHITE WASH PAINTER","قصير"
"8412035","WHITE WASH PAINTER ASSISTANT","مساعد قصير"
"8412044","TILE LAYER","مبلط"
"8412055","TILE LAYER ASSISTANT","مساعد مبلط"
"8412065","TILE POLISHER","جلاء بلاط"
"8412074","MOSAIC FITTER","مركب فسيفساء"
"8412085","PAINTER BUILDINGS","دهان مبانى"
"8412095","PAINTER ASSISTANT / BUILDINGS","مساعد دهان مبانى"
"8412105","ASPHALT ROOFING WORKER","عامل تسقيف بالاسفلت"
"8412115","GYPSUM WORKER","عامل جبس"
"8412125","BUILDING CLEANER (OUTSIDE)","عامل تنظيف مبانى من الخارج"
"8413004","SENIOR PAINTER","صباغ اول"
"8413005","PAINTER","صباغ ( دهان )"
"8420000","ROAD AND RAILWAY CONST OCUP","مهن انشاءالطرق والسكك الحديديه"
"8421000","ROAD CONSTRUCTION WORKERS","عمال انشاء الطرق"
"8421013","ASPHALT MIXTURES CONTROLLER","مراقب خلطات اسفلتيه"
"8421024","ASPHALT MIXER OPERATOR","مشغل خلاطه اسفلت"
"8421035","ASPHALT HEATER OPERATOR","مشغل سخان اسفلت"
"8421044","TRAFFIC SIGNS CONTROLLER","مراقب شواخص مروريه"
"8421055","TRAFFIC SIGNS ERECTOR","مركب شواخص"
"8421065","ROAD MAINTENANCE WORKER","عامل صيانه طرق"
"8421105","PAVEMENT SUPERVISOR","مشرف تقييم رصف"
"8422000","RAILWAY CONSTRUCTION WORKERS","عمال انشاء السكك الحديديه"
"8422013","RAILWAY CONSTRUCTION WORKE GEN","مركب سكك حديديه عام"
"8422024","RAILWAY CONSTRUCTION WORKER","مركب سكك حديديه"
"8422035","RAILWAY CONSTRUCTION ASSISTANT","مساعد مركب سكك حديديه"
"8422045","RAILWAY SLEEPER INSTAL WORKER","مركب عوارض سكك حديديه"
"8500000","MACHI AND INSTR ASSEMBLY OCUP","مهن تجميع الالات والاجهزه"
"8510000","MECHAN MACHI INSTR ASSEM OCUP","مهن تجميع الات واجهزه ميكانيكيه"
"8511000","INDUSTRIAL MACHINES ASSEMBLER","عمال تجميع الالات الصناعيه"
"8511015","MILLING MACHINE ASSEMBLER","عمال تجميع الات التشغيل"
"8511025","WOODWORKING MACHINE ASSEMBLER","عامل تجميع الات النجاره"
"8511035","SPINNING MACHINE ASSEMBLER","عامل تجميع الات الغزل"
"8511045","WEAVING MACHINE ASSEMBLER","عامل تجميع الات النسيج"
"8511055","SEWING MACHINE ASSEMBLER","عامل تجميع الات الخياطه"
"8511065","PRINTING PRESS ASSEMBLER","عامل تجميع الات المطابع"
"8511075","PRECISION INSTRUMENTS ASSEMBLR","عامل تجميع الات دقيقه"
"8512000","OPTICAL INSTRUMENTS ASSEMBLERS","عمال تجميع الاجهزه البصريه"
"8512015","CAMERA ASSEMBLER","عامل تجميع الات التصوير"
"8512025","MICROSCOPE ASSEMBLER","عامل تجميع مجهرات"
"8512035","PROJECTOR ASSEMBLER","عامل تجميع اجهزه عرض"
"8512045","LAND SURVEYING EQUP ASSEMBLER","عامل تجميع اجهزه مساحه"
"8513000","HOUSEHOLD APPLIANCES ASSEMBLER","عمال تجميع الاجهزه المنزليه"
"8513015","REFRIGERATOR ASSEMBLER","عامل تجميع اجهزه التبريد"
"8513025","WASHING MACHINE ASSEMBLER","عامل تجميع غسالات"
"8513035","GAS COOKER AND HEATER ASSEMBLR","عامل تجميع افران غاز"
"8514000","MACHINERY ASSEMBLING LABOUR","عمال تجميع مركبات واليات"
"8514015","MOTOR VEHICLE ASSEMBLER","عامل تجميع مركبات"
"8514025","MOTORCYCLE ASSEMBLER","عامل تجميع دراجات"
"8514035","BICYCLE ASSEMBLER","عامل تجميع دراجات هوائيه"
"8514045","AGRICULTURE VEHICLE ASSEMBLER","عامل تجميع اليات زراعيه"
"8514055","ROAD AND CONST VEHICLE ASSEMBL","عامل تجميع اليات الطرق والابنيه"
"8514065","TURBINE ENGINE ASSEMBLER","عامل تجميع محركات توربينيه"
"8520000","ELECT EQUP INSTR ASSEMBLY OCUP","مهن تجميع الات واجهزه كهربائيه"
"8521000","ELECTRICAL EQUPMENTS ASSEMBLER","عمال تجميع الالات الكهربائيه"
"8521005","ELECTRICAL EQUIPMENT ASSEMBLER","عامل تجميع الالات كهربائيه"
"8521015","POWER GENERATOR ASSEMBLER","عمال تجميع مولدات كهربائيه"
"8521025","ELECTRICAL ENGINE ASSEMBLER","عامل تجميع محركات كهربائيه"
"8521035","TRANSFORMER ASSEMBLER","عامل تجميع محولات كهربائيه"
"8522000","PLATE AND PIECE ASSEMB LABOUR","عمال تجميع القواطع واللوحات"
"8522015","CIRCUIT BREAKER ASSEMBLER","عامل تجميع قواطع كهربائيه"
"8522025","ELECTRICAL SWITCHES ASSEMBLER","عامل تجميع مفاتيح كهربائيه"
"8522035","POWER DISTRI BOARD ASSEMBLER","عامل تجميع لوحات توزيع كهربائه"
"8523000","ELECT EQUP APPLIANCE ASSEMBLER","عمال تجميع الاجهزه الكهربائيه"
"8523015","ELECT MEASURING INSTR ASSEMBLR","عامل تجميع اجهزه قياس كهربائيه"
"8523025","ELECT HEATING EQUP ASSEMBLER","عامل تجميع اجهزه تسخين كهربيه"
"8523035","ELECT VENTILATION EQUP ASSEMBL","عامل تجميع اجهزه تهويه كهربيه"
"8530000","ELECT SUPPLY AND ASSEMB LABOUR","مهن تجميع الات واجهزه الكترونيه"
"8531000","ELCETRONIC EQUP ASSEMBLER","عمال تجميع الالات الالكترونيه"
"8531015","COMPUTER ASSEMBLER","عامل تجميع حاسبات الكترونيه"
"8531025","ELECT MEDICAL EQUP ASSEMBLER","عامل تجميع الاجهزة الطبية الالكترونية"
"8531035","ELECT SURVEILLANCE EQUP ASSEMB","عامل تجميع اجهزه رصد الكترونيه"
"8532000","ELECTRONIC TELECOM EQUP ASSEMB","عمال تجميع اجهزه الاتصالات"
"8532015","ELECTRONIC EXCHANGE ASSEMBLER","عامل تجميع مقاسم الكترونيه"
"8532025","TELEGRAPH SENDER ASSEMBLER","عامل تجميع مبرقات"
"8532035","TELEPHONE ASSEMBLER","عامل تجميع هاتف"
"8532038","SURVERYOR","مساح"
"8532045","TELEVISION ASSEMBLER","عامل تجميع تلفزيون"
"8532055","RADIO ASSEMBLER","عامل تجميع راديو"
"8532059","AERIAL RIGGER LEADER","مسؤول الابراج الهوائيه"
"8532061","GANG LEADER","مسؤول عمال الابراج"
"8532062","SENIOR TECH./AERIAL RIGGER","كبير فنيي الابراج الهوائيه"
"8532063","RADIO TOWER TECHNICIAN","فنى الابراج الهوائيه"
"8532065","RADIO TECHNICIAN","مصلح اجهزة لاسلكي"
"8532071","ASSIT.ENGINEER/EXTERNAL WORKS","مساعد مهندس/الاعمال الخارجيه"
"8542011","ALUMINIUM ASSEMBLY WORKER","عامل تجميع المنيوم"
"9000000","OTHER OCCUPATION","المهن الاخرى"
"9000001","FORECASTING SUPERVISOR","مشرف التوقعات"
"9000002","ASSISTANT SUPERVISOR/FORECASTING","مساعد مشرف التوقعات"
"9000003","FORECASTING CLERK","موظف التوقعات"
"9000004","MANAGER FIELD TASK","مدير قسم المهام الميدانيه"
"9000005","SR.OFFICER FIELD TASK","ضابط اول المهام الميدانيه"
"9000006","OFFICER FIELD TASK","ضابط المهام الميدانيه"
"9000011","CLERK-1/WAYLEAVES","كاتب-1/اذونات التنفيذ"
"9100000","MEMBERS EMPLOYEE DIPLO MISSION","اعضاء وموظفى السلك الدبلوماسى"
"9100011","AMBASSADOR","سفير"
"9100021","AUTHORISED AMBASSADOR","سفير مفوض"
"9100031","CONSUL GENERAL","قنصل عام"
